MDC de [3, 60] - Previsto: (2, 2.4951868) - Real: 3
MDC de [5, 20] - Previsto: (6, 5.521261) - Real: 5
MDC de [6, 18] - Previsto: (5, 4.9399605) - Real: 6
MDC de [6, 44] - Previsto: (3, 2.7759013) - Real: 2
MDC de [6, 54] - Previsto: (5, 4.5021925) - Real: 6
MDC de [6, 66] - Previsto: (5, 4.615623) - Real: 6
MDC de [6, 88] - Previsto: (3, 2.6035583) - Real: 2
MDC de [6, 100] - Previsto: (1, 1.3543206) - Real: 2
MDC de [7, 13] - Previsto: (6, 6.0182905) - Real: 1
MDC de [7, 35] - Previsto: (4, 3.8631911) - Real: 7
MDC de [7, 70] - Previsto: (5, 5.3882675) - Real: 7
MDC de [8, 54] - Previsto: (1, 1.4485729) - Real: 2
MDC de [8, 72] - Previsto: (6, 5.6252584) - Real: 8
MDC de [9, 63] - Previsto: (4, 4.00788) - Real: 9
MDC de [10, 50] - Previsto: (5, 4.8603745) - Real: 10
MDC de [10, 95] - Previsto: (4, 3.959403) - Real: 5
MDC de [10, 100] - Previsto: (9, 9.496426) - Real: 10
MDC de [11, 11] - Previsto: (10, 10.177546) - Real: 11
MDC de [11, 88] - Previsto: (10, 10.496158) - Real: 11
MDC de [12, 3] - Previsto: (4, 3.8520179) - Real: 3
MDC de [12, 27] - Previsto: (4, 3.9611838) - Real: 3
MDC de [12, 84] - Previsto: (10, 10.071513) - Real: 12
MDC de [13, 34] - Previsto: (0, 0.2849052) - Real: 1
MDC de [13, 39] - Previsto: (11, 11.274117) - Real: 13
MDC de [14, 84] - Previsto: (15, 15.105357) - Real: 14
MDC de [15, 5] - Previsto: (4, 4.4260674) - Real: 5
MDC de [16, 60] - Previsto: (11, 10.976394) - Real: 4
MDC de [16, 64] - Previsto: (10, 10.226623) - Real: 16
MDC de [16, 86] - Previsto: (1, 1.4037426) - Real: 2
MDC de [16, 88] - Previsto: (7, 6.5103216) - Real: 8
MDC de [16, 90] - Previsto: (7, 6.9000816) - Real: 2
MDC de [16, 95] - Previsto: (3, 3.3461359) - Real: 1
MDC de [17, 35] - Previsto: (2, 2.0510921) - Real: 1
MDC de [18, 18] - Previsto: (15, 15.136638) - Real: 18
MDC de [18, 30] - Previsto: (5, 5.486705) - Real: 6
MDC de [18, 33] - Previsto: (4, 4.205016) - Real: 3
MDC de [18, 90] - Previsto: (14, 13.7739725) - Real: 18
MDC de [19, 76] - Previsto: (1, 0.99697137) - Real: 19
MDC de [20, 10] - Previsto: (8, 7.920165) - Real: 10
MDC de [20, 15] - Previsto: (4, 3.7467844) - Real: 5
MDC de [20, 78] - Previsto: (3, 3.4910038) - Real: 2
MDC de [20, 92] - Previsto: (6, 5.823015) - Real: 4
MDC de [20, 100] - Previsto: (14, 14.11085) - Real: 20
MDC de [21, 36] - Previsto: (4, 3.5486338) - Real: 3
MDC de [21, 49] - Previsto: (6, 6.4065228) - Real: 7
MDC de [21, 63] - Previsto: (25, 24.526514) - Real: 21
MDC de [21, 84] - Previsto: (26, 26.284182) - Real: 21
MDC de [21, 90] - Previsto: (4, 4.1050606) - Real: 3
MDC de [22, 11] - Previsto: (9, 8.776856) - Real: 11
MDC de [22, 45] - Previsto: (2, 1.5035752) - Real: 1
MDC de [22, 77] - Previsto: (10, 10.389201) - Real: 11
MDC de [22, 99] - Previsto: (19, 18.915325) - Real: 11
MDC de [23, 92] - Previsto: (2, 2.1788733) - Real: 23
MDC de [24, 6] - Previsto: (5, 5.1526327) - Real: 6
MDC de [24, 18] - Previsto: (5, 5.294057) - Real: 6
MDC de [24, 44] - Previsto: (5, 5.06194) - Real: 4
MDC de [24, 72] - Previsto: (11, 11.468686) - Real: 24
MDC de [24, 76] - Previsto: (5, 4.51027) - Real: 4
MDC de [24, 88] - Previsto: (7, 7.22138) - Real: 8
MDC de [25, 14] - Previsto: (2, 1.7413453) - Real: 1
MDC de [25, 95] - Previsto: (4, 4.0850573) - Real: 5
MDC de [26, 20] - Previsto: (3, 2.6692266) - Real: 2
MDC de [26, 65] - Previsto: (12, 11.534339) - Real: 13
MDC de [26, 70] - Previsto: (6, 6.2273264) - Real: 2
MDC de [27, 84] - Previsto: (4, 3.7239087) - Real: 3
MDC de [28, 4] - Previsto: (3, 3.4696581) - Real: 4
MDC de [28, 12] - Previsto: (3, 3.4507918) - Real: 4
MDC de [28, 21] - Previsto: (8, 7.673539) - Real: 7
MDC de [28, 49] - Previsto: (9, 9.1882105) - Real: 7
MDC de [28, 68] - Previsto: (5, 5.140849) - Real: 4
MDC de [28, 100] - Previsto: (3, 3.4843652) - Real: 4
MDC de [29, 58] - Previsto: (44, 44.249283) - Real: 29
MDC de [29, 87] - Previsto: (1, 0.99959314) - Real: 29
MDC de [30, 10] - Previsto: (8, 7.5077715) - Real: 10
MDC de [30, 12] - Previsto: (7, 6.7496805) - Real: 6
MDC de [30, 42] - Previsto: (5, 5.2710924) - Real: 6
MDC de [30, 45] - Previsto: (11, 11.442373) - Real: 15
MDC de [30, 48] - Previsto: (7, 6.6342697) - Real: 6
MDC de [30, 75] - Previsto: (14, 14.03255) - Real: 15
MDC de [32, 32] - Previsto: (15, 15.36073) - Real: 32
MDC de [32, 60] - Previsto: (10, 9.687227) - Real: 4
MDC de [32, 64] - Previsto: (8, 7.5978127) - Real: 32
MDC de [32, 88] - Previsto: (6, 6.3718433) - Real: 8
MDC de [32, 90] - Previsto: (6, 6.0873146) - Real: 2
MDC de [32, 95] - Previsto: (3, 3.2480721) - Real: 1
MDC de [33, 18] - Previsto: (8, 8.4162035) - Real: 3
MDC de [33, 22] - Previsto: (15, 15.036847) - Real: 11
MDC de [33, 44] - Previsto: (18, 17.973223) - Real: 11
MDC de [33, 88] - Previsto: (19, 19.433432) - Real: 11
MDC de [33, 90] - Previsto: (5, 5.084358) - Real: 3
MDC de [34, 10] - Previsto: (3, 2.5743515) - Real: 2
MDC de [34, 56] - Previsto: (4, 3.620147) - Real: 2
MDC de [34, 68] - Previsto: (46, 45.64946) - Real: 34
MDC de [35, 12] - Previsto: (2, 1.7495321) - Real: 1
MDC de [35, 20] - Previsto: (2, 2.2249434) - Real: 5
MDC de [35, 32] - Previsto: (2, 1.7338843) - Real: 1
MDC de [35, 55] - Previsto: (4, 4.3385177) - Real: 5
MDC de [35, 66] - Previsto: (2, 1.7788537) - Real: 1
MDC de [35, 72] - Previsto: (2, 1.9766786) - Real: 1
MDC de [36, 10] - Previsto: (3, 3.2849824) - Real: 2
MDC de [36, 20] - Previsto: (3, 3.3192475) - Real: 4
MDC de [36, 48] - Previsto: (17, 17.350824) - Real: 12
MDC de [36, 60] - Previsto: (11, 11.066169) - Real: 12
MDC de [36, 69] - Previsto: (4, 3.7900527) - Real: 3
MDC de [36, 80] - Previsto: (5, 5.315586) - Real: 4
MDC de [36, 85] - Previsto: (5, 5.406705) - Real: 1
MDC de [36, 92] - Previsto: (3, 3.2067077) - Real: 4
MDC de [37, 19] - Previsto: (8, 7.769389) - Real: 1
MDC de [38, 38] - Previsto: (19, 18.526976) - Real: 38
MDC de [38, 69] - Previsto: (3, 3.1292927) - Real: 1
